book1,book2,cosine_similarity
131.txt,357.txt,0.152466756331954
400.txt,263.txt,0.1523911353734013
379.txt,342.txt,0.15238317031623358
200.txt,408.txt,0.15206031516674717
360.txt,61.txt,0.1517907312941034
200.txt,470.txt,0.15176047251574182
323.txt,317.txt,0.15129165169314276
53.txt,39.txt,0.15123121740659282
148.txt,379.txt,0.1511466765130492
328.txt,458.txt,0.15106820784676459
392.txt,228.txt,0.1509073516946252
79.txt,118.txt,0.15081492542544714
260.txt,312.txt,0.15067379299131609
309.txt,487.txt,0.1506363804562421
360.txt,445.txt,0.15043851171119563
258.txt,400.txt,0.15035799462749846
309.txt,304.txt,0.15017873262036976
260.txt,109.txt,0.1500797880120765
258.txt,409.txt,0.14997445638607781
280.txt,381.txt,0.14973742040762666
260.txt,458.txt,0.14959825528371776
379.txt,445.txt,0.14957566240551484
260.txt,317.txt,0.14941658176910447
8.txt,7.txt,0.14935775188496492
200.txt,326.txt,0.14931230003117513
26.txt,400.txt,0.1491411565306646
304.txt,259.txt,0.14902588998214653
54.txt,419.txt,0.14890389442870983
360.txt,470.txt,0.14884584339282622
475.txt,71.txt,0.14846364151340963
422.txt,370.txt,0.1483220580223116
258.txt,309.txt,0.14820196160914398
261.txt,487.txt,0.14814174256737153
18.txt,253.txt,0.1478680545929862
309.txt,109.txt,0.14786699176564913
262.txt,109.txt,0.14771735708609404
232.txt,207.txt,0.147693845075798
328.txt,315.txt,0.1475752861083776
475.txt,405.txt,0.14752402740675505
10.txt,258.txt,0.1474320073530904
228.txt,463.txt,0.14738361191718866
10.txt,397.txt,0.14735361710125058
360.txt,130.txt,0.14725353224532456
359.txt,400.txt,0.1471274524123746
392.txt,264.txt,0.14705640452293062
9.txt,104.txt,0.14704952977558805
392.txt,234.txt,0.1470042198130032
466.txt,379.txt,0.14657930838193794
207.txt,424.txt,0.14655916340160208
228.txt,317.txt,0.14654764853944674
234.txt,232.txt,0.14647285012551348
261.txt,136.txt,0.14640431596633213
26.txt,418.txt,0.14638185961632363
359.txt,136.txt,0.1463550317276773
357.txt,264.txt,0.14630329183329846
370.txt,381.txt,0.14629825490363882
18.txt,148.txt,0.14629606687924826
228.txt,73.txt,0.1461742105930269
87.txt,88.txt,0.14608387995387775
379.txt,340.txt,0.1458897471894401
138.txt,249.txt,0.14584380061484498
206.txt,99.txt,0.1456054954719877
361.txt,474.txt,0.1455505532811647
18.txt,379.txt,0.14554073638750106
82.txt,109.txt,0.14550884476204848
263.txt,442.txt,0.1452106039051341
82.txt,479.txt,0.14515618339406167
260.txt,232.txt,0.1451541696619734
448.txt,130.txt,0.1450121565401746
317.txt,136.txt,0.14496666139926495
360.txt,408.txt,0.14473347124505054
163.txt,136.txt,0.1447211502725371
10.txt,264.txt,0.14463327854593014
323.txt,109.txt,0.14454419813269215
312.txt,263.txt,0.14425352351233298
18.txt,445.txt,0.14416817440827376
169.txt,82.txt,0.14410916866731363
258.txt,264.txt,0.14410686192391728
409.txt,246.txt,0.1440241320787974
228.txt,58.txt,0.14399950761451252
231.txt,249.txt,0.14392443762772614
67.txt,379.txt,0.14391733212454247
18.txt,374.txt,0.1437935539549434
